probe_id	chromosome	position	VALUE
ID_2_RP11_13A2	10	62438152	-0.1071
ID_3_RP11_16O1	10	17757889	-0.0398
ID_4_RP11_37P5	10	16035860	-0.1638
ID_5_RP11_122K13	10	133408431	0.2176
ID_6_RP11_151A10	10	125179220	-0.0394
ID_7_RP11_162E8	10	23921361	-0.1074
ID_8_RP13_238F13	10	124420330	-0.1401
ID_9_RP11_264E18	10	128325837	-0.0094
ID_10_RP11_292F22	10	46238181	-0.0604
ID_11_RP11_338O1	10	123308473	-0.0634
ID_12_RP11_359E7	10	119830818	-0.0881
ID_13_RP11_506F8	3	195474822	-0.1401
ID_14_RP11_507K2	3	135974028	-0.1414
ID_15_RP11_510D4	4	117589180	-0.4128
ID_16_RP11_519A11	4	29218268	-0.4734
ID_17_RP11_520O10	5	178527985	-0.0238
ID_18_RP11_522N18	2	156586381	-0.1888
ID_19_RP11_529G21	3	153038031	-0.2978
ID_20_RP11_531F16	11	108002110	-0.4471
ID_21_RP11_533H15	11	92609973	-0.3434
ID_22_RP11_541G9	12	97237365	-0.0958
ID_23_RP11_542D13	2	97604822	-0.0508
ID_24_RP11_544H16	8	111518434	-0.3624
ID_25_RP3_510D11	1	9218050	-0.0274
ID_26_RP4_636F13	1	12424461	-0.1564
ID_27_RP4_745E8	1	20295488	-0.0304
ID_28_RP1_86A18	1	50460424	-0.2601
ID_29_RP4_710M16	1	56421734	-0.2674
ID_30_RP4_700A9	1	65177599	-0.2248
ID_31_RP5_1043L3	1	87261220	-0.5564
ID_32_RP4_549L20	1	100903101	-0.3204
ID_33_RP4_667F15	1	109193068	-0.0801
ID_34_RP5_1198E17	1	173914140	-0.2301
ID_35_RP5_990P15	1	178545775	-0.2198
ID_36_RP5_879K22	1	210418219	-0.2318
ID_37_RP1_42M2	7	6097060	0.2116
ID_38_RP1_64M18	5	12186575	-0.2111
ID_39_RP1_97G4	12	77384352	-0.2438
ID_40_RP1_316D7	11	33570086	-0.2084
ID_41_RP3_417E16	12	47957284	-0.1441
ID_42_RP4_612F12	7	41271027	0.1482
ID_43_RP4_660C16	8	22543093	-0.4841
ID_44_RP4_721B17	7	144577730	-0.0708
ID_45_RP5_859H16	19	5684861	0.0146
ID_46_RP5_892C22	X	151322748	-0.2231
ID_47_RP5_905H7	7	63297477	-0.0901
ID_48_RP11_460N10	12	33207819	-0.1868
ID_49_RP11_463D17	18	45478676	-0.0018
ID_50_RP11_466I16	3	192268331	-0.3928
ID_51_RP11_478M12	2	41537316	-0.1674
ID_52_RP11_479F13	2	61341119	-0.0978
ID_53_RP11_480H11	5	65817562	-0.1034
ID_54_RP11_485O10	15	48844617	-0.3751
ID_55_RP11_488L1	17	13158913	-0.1968
ID_56_RP11_489P15	2	215762697	-0.0828
